id_envio,id_cliente,cliente,cidade_cliente,estado_cliente,id_veiculo,veiculo,placa,categoria_veiculo,cd_origem,cidade_origem,estado_origem,cd_destino,cidade_destino,estado_destino,data_postagem,data_previsao_entrega,data_entrega_real,valor_frete,peso_carga
34,47,Caroline Sales,Mendes,RS,19,Ford Ranger,YTU8726,2,CD Maringá,Maringá,PR,CD Vitória da Conquista,Vitória da Conquista,BA,2026-06-01 14:53:17,2026-06-11 14:53:17,2026-06-10 14:53:17,1061.16,993.41
974,47,Caroline Sales,Mendes,RS,24,Volkswagen Delivery 11.180,SBS6419,3,CD Juiz de Fora,Juiz de Fora,MG,CD Campina Grande,Campina Grande,PB,2026-05-20 19:52:38,2026-05-27 19:52:38,,1098.83,1834.66
492,49,Kevin da Costa,Borges,PA,27,Scania P320,DCB9288,3,CD Uberlândia,Uberlândia,MG,CD São Carlos,São Carlos,SP,2026-03-28 05:00:35,2026-04-09 05:00:35,2026-04-14 05:00:35,1189.55,1979.427
2,51,Lavínia da Rosa,Barros das Pedras,MG,17,Toyota Hilux,XHD6644,2,CD Curitiba,Curitiba,PR,CD Sinop,Sinop,MT,2026-05-09 13:30:11,2026-05-16 13:30:11,,353.65,303.792
190,51,Lavínia da Rosa,Barros das Pedras,MG,20,Volkswagen Amarok,LDU5797,2,CD Presidente Prudente,Presidente Prudente,SP,CD Ananindeua,Ananindeua,PA,2026-03-07 00:18:47,2026-03-22 00:18:47,2026-03-19 00:18:47,562.31,626.036
708,51,Lavínia da Rosa,Barros das Pedras,MG,20,Volkswagen Amarok,LDU5797,2,CD Uberaba,Uberaba,MG,CD Presidente Prudente,Presidente Prudente,SP,2026-01-27 06:15:58,2026-02-02 06:15:58,2026-02-03 06:15:58,448.31,438.012
667,54,Alexia Nascimento,Nunes,PB,29,Iveco Tector 240E30,KIW4424,3,CD Macapá,Macapá,AP,CD Vila Velha,Vila Velha,ES,2026-04-14 16:22:35,2026-04-18 16:22:35,2026-04-18 16:22:35,983.71,1753.52
258,56,Antony Novais,Moura,GO,29,Iveco Tector 240E30,KIW4424,3,CD Salvador,Salvador,BA,CD Marabá,Marabá,PA,2026-04-21 12:34:45,2026-05-01 12:34:45,2026-05-01 12:34:45,1952.74,1760.604
543,57,Dra. Ágatha Cavalcanti,Marques das Flores,PE,16,Fiat Toro,COX0501,2,CD Campo Grande,Campo Grande,MS,CD Limeira,Limeira,SP,2026-05-20 11:00:35,2026-05-31 11:00:35,2026-05-28 11:00:35,156.03,175.474
301,58,Dra. Daniela Teixeira,Freitas do Campo,PI,17,Toyota Hilux,XHD6644,2,CD Franca,Franca,SP,CD Jundiaí,Jundiaí,SP,2026-04-04 03:30:02,2026-04-15 03:30:02,,393.73,749.931
473,58,Dra. Daniela Teixeira,Freitas do Campo,PI,16,Fiat Toro,COX0501,2,CD Uberlândia,Uberlândia,MG,CD Palmas,Palmas,TO,2026-03-06 20:22:07,2026-03-15 20:22:07,2026-03-18 20:22:07,412.18,430.352
770,58,Dra. Daniela Teixeira,Freitas do Campo,PI,18,Chevrolet S10,HFY7172,2,CD Curitiba,Curitiba,PR,CD Barueri,Barueri,SP,2026-03-14 07:05:16,2026-03-27 07:05:16,2026-03-24 07:05:16,134.9,165.074
978,58,Dra. Daniela Teixeira,Freitas do Campo,PI,20,Volkswagen Amarok,LDU5797,2,CD Barueri,Barueri,SP,CD Itajaí,Itajaí,SC,2026-04-23 16:51:08,2026-05-05 16:51:08,2026-04-26 16:51:08,404.1,370.009
436,60,Benicio Oliveira,Ramos das Pedras,CE,18,Chevrolet S10,HFY7172,2,CD Rondonópolis,Rondonópolis,MT,CD Guarulhos,Guarulhos,SP,2026-04-05 09:43:01,2026-04-07 09:43:01,,190.21,329.234
875,60,Benicio Oliveira,Ramos das Pedras,CE,19,Ford Ranger,YTU8726,2,CD Duque de Caxias,Duque de Caxias,RJ,CD Volta Redonda,Volta Redonda,RJ,2026-02-17 03:17:08,2026-02-26 03:17:08,2026-03-07 03:17:08,321.29,445.009
181,61,José Pedro Sá,Ramos,MT,28,Volvo VM 270,NOG4159,3,CD Sinop,Sinop,MT,CD Palmas,Palmas,TO,2026-01-03 20:19:28,2026-01-07 20:19:28,2026-01-05 20:19:28,1073.89,1379.868
469,62,Anna Liz Pastor,Câmara de Souza,PR,25,Mercedes-Benz Atego 1719,XOR7165,3,CD Petrolina,Petrolina,PE,CD São Luís,São Luís,MA,2026-02-05 13:52:01,2026-02-18 13:52:01,2026-02-19 13:52:01,852.58,1913.512
806,63,Ravy da Conceição,Leão,PA,23,Fiat Ducato,AUR0775,3,CD Caxias do Sul,Caxias do Sul,RS,CD Vitória da Conquista,Vitória da Conquista,BA,2026-04-04 07:46:08,2026-04-07 07:46:08,2026-04-13 07:46:08,628.75,1011.253
390,66,Sofia da Cruz,Jesus Alegre,RR,24,Volkswagen Delivery 11.180,SBS6419,3,CD Contagem,Contagem,MG,CD Juiz de Fora,Juiz de Fora,MG,2026-06-18 01:38:15,2026-06-23 01:38:15,,928.67,1407.119
656,66,Sofia da Cruz,Jesus Alegre,RR,25,Mercedes-Benz Atego 1719,XOR7165,3,CD Ananindeua,Ananindeua,PA,CD Belém,Belém,PA,2026-06-23 22:18:45,2026-07-08 22:18:45,2026-06-25 22:18:45,1212.03,1955.991
160,67,Srta. Isabelly Campos,Ribeiro de Nascimento,SE,28,Volvo VM 270,NOG4159,3,CD Duque de Caxias,Duque de Caxias,RJ,CD São Carlos,São Carlos,SP,2026-02-10 10:43:46,2026-02-18 10:43:46,2026-02-11 10:43:46,1814.2,1707.429
925,67,Srta. Isabelly Campos,Ribeiro de Nascimento,SE,25,Mercedes-Benz Atego 1719,XOR7165,3,CD Araguaína,Araguaína,TO,CD Canoas,Canoas,RS,2026-03-04 22:28:01,2026-03-19 22:28:01,2026-03-14 22:28:01,1415.25,1601.26
525,68,Sra. Alana Andrade,Sá,RS,17,Toyota Hilux,XHD6644,2,CD Santarém,Santarém,PA,CD Dourados,Dourados,MS,2026-06-25 18:29:15,2026-07-08 18:29:15,,478.93,492.656
911,68,Sra. Alana Andrade,Sá,RS,21,Mercedes-Benz Sprinter,WDM2991,3,CD São Carlos,São Carlos,SP,CD Manaus,Manaus,AM,2026-05-11 12:43:29,2026-05-12 12:43:29,2026-05-28 12:43:29,716.85,1585.027
600,69,Lívia Macedo,Araújo do Oeste,GO,21,Mercedes-Benz Sprinter,WDM2991,3,CD Jaboatão dos Guararapes,Jaboatão dos Guararapes,PE,CD Rio de Janeiro,Rio de Janeiro,RJ,2026-01-13 03:15:39,2026-01-22 03:15:39,2026-01-26 03:15:39,727.7,1169.033
685,69,Lívia Macedo,Araújo do Oeste,GO,17,Toyota Hilux,XHD6644,2,CD Campinas,Campinas,SP,CD Feira de Santana,Feira de Santana,BA,2026-06-17 08:26:16,2026-06-25 08:26:16,2026-06-26 08:26:16,162.23,292.402
917,69,Lívia Macedo,Araújo do Oeste,GO,18,Chevrolet S10,HFY7172,2,CD Porto Alegre,Porto Alegre,RS,CD Guarulhos,Guarulhos,SP,2026-05-02 03:48:49,2026-05-06 03:48:49,2026-05-12 03:48:49,260.68,259.338
684,70,Liam Pacheco,Machado do Campo,RR,20,Volkswagen Amarok,LDU5797,2,CD Cascavel,Cascavel,PR,CD Jundiaí,Jundiaí,SP,2026-05-31 08:53:58,2026-06-07 08:53:58,,304.61,324.139
738,70,Liam Pacheco,Machado do Campo,RR,18,Chevrolet S10,HFY7172,2,CD Betim,Betim,MG,CD Santarém,Santarém,PA,2026-02-13 19:26:15,2026-02-15 19:26:15,2026-02-14 19:26:15,124.74,232.514
952,72,Evelyn Almeida,Farias das Flores,SE,20,Volkswagen Amarok,LDU5797,2,CD Caxias do Sul,Caxias do Sul,RS,CD Santa Maria,Santa Maria,RS,2026-05-22 07:26:37,2026-05-27 07:26:37,2026-06-05 07:26:37,755.6,856.967
38,73,Eduarda da Rosa,Lopes do Norte,RO,26,Volkswagen Constellation 24.280,AEV8053,3,CD Foz do Iguaçu,Foz do Iguaçu,PR,CD Três Lagoas,Três Lagoas,MS,2026-05-12 17:05:08,2026-05-13 17:05:08,2026-05-18 17:05:08,1284.31,1160.473
479,73,Eduarda da Rosa,Lopes do Norte,RO,19,Ford Ranger,YTU8726,2,CD Presidente Prudente,Presidente Prudente,SP,CD Imperatriz,Imperatriz,MA,2026-01-26 13:18:03,2026-02-10 13:18:03,2026-01-31 13:18:03,410.03,331.004
577,73,Eduarda da Rosa,Lopes do Norte,RO,27,Scania P320,DCB9288,3,CD Blumenau,Blumenau,SC,CD Anápolis,Anápolis,GO,2026-04-14 21:53:20,2026-04-18 21:53:20,,982.71,1184.382
55,75,Enrico Vieira,Rezende,RR,21,Mercedes-Benz Sprinter,WDM2991,3,CD São José dos Campos,São José dos Campos,SP,CD São Paulo,São Paulo,SP,2026-02-22 11:22:51,2026-03-07 11:22:51,2026-03-11 11:22:51,987.92,1498.386
95,76,Sra. Liz Azevedo,Lopes,AL,23,Fiat Ducato,AUR0775,3,CD Fortaleza,Fortaleza,CE,CD Rio Branco,Rio Branco,AC,2026-01-04 16:30:13,2026-01-13 16:30:13,,1339.23,1477.724
861,76,Sra. Liz Azevedo,Lopes,AL,25,Mercedes-Benz Atego 1719,XOR7165,3,CD Campo Grande,Campo Grande,MS,CD Porto Alegre,Porto Alegre,RS,2026-05-26 00:40:10,2026-05-27 00:40:10,,748.85,1024.421
109,77,Maria Luiza Duarte,Lopes,RR,18,Chevrolet S10,HFY7172,2,CD João Pessoa,João Pessoa,PB,CD Piracicaba,Piracicaba,SP,2026-02-09 14:43:29,2026-02-15 14:43:29,2026-02-21 14:43:29,896.35,815.749
244,78,Igor da Mota,Barbosa do Norte,AM,27,Scania P320,DCB9288,3,CD Foz do Iguaçu,Foz do Iguaçu,PR,CD Rio de Janeiro,Rio de Janeiro,RJ,2026-03-12 16:01:11,2026-03-16 16:01:11,2026-03-20 16:01:11,647.94,1526.177
663,78,Igor da Mota,Barbosa do Norte,AM,27,Scania P320,DCB9288,3,CD Novo Hamburgo,Novo Hamburgo,RS,CD Arapiraca,Arapiraca,AL,2026-03-06 22:39:36,2026-03-15 22:39:36,,895.57,1147.874
475,82,Vinícius Nogueira,Lima dos Dourados,AM,11,Nissan Versa,BGU2133,1,CD Araguaína,Araguaína,TO,CD Nova Iguaçu,Nova Iguaçu,RJ,2026-01-07 14:40:47,2026-01-14 14:40:47,,107.57,79.459
457,85,Sr. Danilo da Costa,Pires da Praia,RJ,29,Iveco Tector 240E30,KIW4424,3,CD Araçatuba,Araçatuba,SP,CD João Pessoa,João Pessoa,PB,2026-05-02 00:56:06,2026-05-03 00:56:06,,1799.96,1815.148
117,86,Srta. Maya Farias,Pimenta do Sul,RO,6,Chevrolet Prisma,VTX3790,1,CD Duque de Caxias,Duque de Caxias,RJ,CD Caxias do Sul,Caxias do Sul,RS,2026-06-26 09:03:07,2026-06-27 09:03:07,,83.1,59.996
991,88,Stella Novaes,Oliveira,SP,16,Fiat Toro,COX0501,2,CD Campo Grande,Campo Grande,MS,CD Marília,Marília,SP,2026-01-19 08:28:06,2026-01-28 08:28:06,2026-01-31 08:28:06,159.73,224.468
238,91,Catarina Caldeira,Silveira,PE,18,Chevrolet S10,HFY7172,2,CD Maceió,Maceió,AL,CD Marília,Marília,SP,2026-03-12 08:55:09,2026-03-18 08:55:09,,341.76,721.647
779,91,Catarina Caldeira,Silveira,PE,21,Mercedes-Benz Sprinter,WDM2991,3,CD Curitiba,Curitiba,PR,CD Mossoró,Mossoró,RN,2026-04-21 23:04:27,2026-05-02 23:04:27,2026-05-04 23:04:27,1473.64,1400.889
937,93,Sr. Pietro Nunes,da Costa,RJ,26,Volkswagen Constellation 24.280,AEV8053,3,CD Itajaí,Itajaí,SC,CD Santa Maria,Santa Maria,RS,2026-02-19 21:14:14,2026-02-21 21:14:14,,1702.23,1896.254
80,95,Camila Machado,Teixeira,MA,16,Fiat Toro,COX0501,2,CD Marília,Marília,SP,CD Marabá,Marabá,PA,2026-01-26 23:18:12,2026-02-04 23:18:12,,275.62,444.436
127,96,Enzo Gabriel Gonçalves,Barros Verde,PR,29,Iveco Tector 240E30,KIW4424,3,CD Recife,Recife,PE,CD Anápolis,Anápolis,GO,2026-02-20 04:53:47,2026-02-24 04:53:47,,2037.85,1808.248
555,96,Enzo Gabriel Gonçalves,Barros Verde,PR,26,Volkswagen Constellation 24.280,AEV8053,3,CD Brasília,Brasília,DF,CD Ananindeua,Ananindeua,PA,2026-04-17 13:45:33,2026-04-26 13:45:33,2026-04-20 13:45:33,2100.82,1784.45
541,97,Liam Siqueira,Garcia,BA,19,Ford Ranger,YTU8726,2,CD Juazeiro do Norte,Juazeiro do Norte,CE,CD Natal,Natal,RN,2026-03-08 20:04:35,2026-03-14 20:04:35,2026-03-10 20:04:35,790.06,737.377
793,97,Liam Siqueira,Garcia,BA,28,Volvo VM 270,NOG4159,3,CD Rondonópolis,Rondonópolis,MT,CD Jaboatão dos Guararapes,Jaboatão dos Guararapes,PE,2026-04-30 03:07:49,2026-05-02 03:07:49,2026-05-02 03:07:49,756.81,1239.168
982,97,Liam Siqueira,Garcia,BA,20,Volkswagen Amarok,LDU5797,2,CD Brasília,Brasília,DF,CD Porto Alegre,Porto Alegre,RS,2025-12-30 11:16:03,2026-01-14 11:16:03,2026-01-04 11:16:03,485.84,409.35
583,100,Léo Vieira,Pastor de Carvalho,PA,16,Fiat Toro,COX0501,2,CD Taubaté,Taubaté,SP,CD João Pessoa,João Pessoa,PB,2026-06-15 18:49:07,2026-06-28 18:49:07,2026-06-24 18:49:07,232.18,448.728
819,102,Isaque Pimenta,Farias da Mata,AM,19,Ford Ranger,YTU8726,2,CD Rondonópolis,Rondonópolis,MT,CD Foz do Iguaçu,Foz do Iguaçu,PR,2026-05-14 12:46:32,2026-05-16 12:46:32,2026-05-19 12:46:32,614.38,737.912
625,103,Juan Campos,Sousa,AL,20,Volkswagen Amarok,LDU5797,2,CD Natal,Natal,RN,CD Vitória,Vitória,ES,2026-06-10 06:07:11,2026-06-18 06:07:11,2026-06-19 06:07:11,136.56,137.617
675,103,Juan Campos,Sousa,AL,27,Scania P320,DCB9288,3,CD Limeira,Limeira,SP,CD Barueri,Barueri,SP,2026-02-24 06:30:50,2026-02-26 06:30:50,2026-03-10 06:30:50,1659.06,1498.916
831,103,Juan Campos,Sousa,AL,20,Volkswagen Amarok,LDU5797,2,CD Juazeiro,Juazeiro,BA,CD Porto Velho,Porto Velho,RO,2026-02-17 07:42:34,2026-03-01 07:42:34,2026-02-24 07:42:34,580.29,737.113
407,104,Renan Mendes,Peixoto das Pedras,SC,29,Iveco Tector 240E30,KIW4424,3,CD Barueri,Barueri,SP,CD Osasco,Osasco,SP,2026-01-15 05:34:05,2026-01-26 05:34:05,2026-01-19 05:34:05,1014.43,1076.626
396,105,Júlia Oliveira,Rezende,RN,19,Ford Ranger,YTU8726,2,CD Três Lagoas,Três Lagoas,MS,CD Chapecó,Chapecó,SC,2026-02-27 16:44:09,2026-03-13 16:44:09,2026-03-07 16:44:09,225.11,367.856
526,109,Valentina Nascimento,Melo,BA,28,Volvo VM 270,NOG4159,3,CD Bauru,Bauru,SP,CD Governador Valadares,Governador Valadares,MG,2026-04-20 06:21:02,2026-04-24 06:21:02,2026-04-24 06:21:02,1113.24,1050.051
703,111,Sofia das Neves,Vargas,DF,22,Renault Master,JVZ8251,3,CD Arapiraca,Arapiraca,AL,CD São Luís,São Luís,MA,2026-04-01 07:41:47,2026-04-03 07:41:47,2026-04-16 07:41:47,1445.17,1351.141
749,112,Isabelly Moura,Moura da Prata,AL,30,DAF XF 480,KSZ8486,3,CD Brasília,Brasília,DF,CD Limeira,Limeira,SP,2026-04-12 19:52:17,2026-04-19 19:52:17,2026-04-13 19:52:17,984.56,1530.846
184,113,Luiz Gustavo Lopes,Rocha,SE,30,DAF XF 480,KSZ8486,3,CD Uberlândia,Uberlândia,MG,CD Blumenau,Blumenau,SC,2026-06-23 11:34:30,2026-07-04 11:34:30,,639.85,1425.408
304,113,Luiz Gustavo Lopes,Rocha,SE,11,Nissan Versa,BGU2133,1,CD Três Lagoas,Três Lagoas,MS,CD Anápolis,Anápolis,GO,2026-05-07 11:58:50,2026-05-18 11:58:50,2026-05-08 11:58:50,95.59,94.087
769,113,Luiz Gustavo Lopes,Rocha,SE,20,Volkswagen Amarok,LDU5797,2,CD Taubaté,Taubaté,SP,CD Porto Velho,Porto Velho,RO,2026-05-27 16:59:47,2026-06-05 16:59:47,2026-06-13 16:59:47,353.59,529.111
88,114,Dante Pastor,Almeida das Flores,CE,28,Volvo VM 270,NOG4159,3,CD Recife,Recife,PE,CD Vitória,Vitória,ES,2026-01-13 21:53:29,2026-01-23 21:53:29,2026-01-17 21:53:29,1004.1,1540.78
468,115,Manuela Guerra,Garcia do Norte,ES,28,Volvo VM 270,NOG4159,3,CD São José dos Campos,São José dos Campos,SP,CD Vitória da Conquista,Vitória da Conquista,BA,2026-04-07 06:00:08,2026-04-11 06:00:08,2026-04-10 06:00:08,1564.03,1513.349
848,115,Manuela Guerra,Garcia do Norte,ES,21,Mercedes-Benz Sprinter,WDM2991,3,CD Londrina,Londrina,PR,CD Ribeirão Preto,Ribeirão Preto,SP,2026-03-24 04:15:49,2026-03-26 04:15:49,,1894.18,1904.292
256,116,João Gabriel Cavalcanti,Cirino de Câmara,AL,27,Scania P320,DCB9288,3,CD São Carlos,São Carlos,SP,CD Aracaju,Aracaju,SE,2026-05-29 07:23:41,2026-06-01 07:23:41,2026-06-15 07:23:41,1263.31,1492.963
817,117,Manuela Aragão,Vieira,SC,29,Iveco Tector 240E30,KIW4424,3,CD Uberlândia,Uberlândia,MG,CD Salvador,Salvador,BA,2026-06-15 19:48:29,2026-06-23 19:48:29,,1492.81,1309.553
855,119,Thiago Cavalcanti,Caldeira Grande,MG,17,Toyota Hilux,XHD6644,2,CD Itajaí,Itajaí,SC,CD Campos dos Goytacazes,Campos dos Goytacazes,RJ,2026-03-17 11:27:39,2026-04-01 11:27:39,,201.45,303.402
57,121,Breno da Paz,Farias,SE,16,Fiat Toro,COX0501,2,CD São Carlos,São Carlos,SP,CD Uberaba,Uberaba,MG,2026-02-06 10:22:30,2026-02-07 10:22:30,,265.73,313.62
830,121,Breno da Paz,Farias,SE,20,Volkswagen Amarok,LDU5797,2,CD Brasília,Brasília,DF,CD Osasco,Osasco,SP,2026-04-28 09:13:00,2026-05-10 09:13:00,2026-05-08 09:13:00,463.93,633.162
946,122,Antonella Barbosa,Guerra de Minas,SC,24,Volkswagen Delivery 11.180,SBS6419,3,CD Belém,Belém,PA,CD Três Lagoas,Três Lagoas,MS,2026-03-28 04:24:01,2026-04-05 04:24:01,,678.15,1101.464
574,126,Pietro Abreu,Nunes,AL,20,Volkswagen Amarok,LDU5797,2,CD Boa Vista,Boa Vista,RR,CD Foz do Iguaçu,Foz do Iguaçu,PR,2026-02-22 11:34:40,2026-02-26 11:34:40,2026-03-08 11:34:40,582.39,544.848
305,127,Luiz Miguel Pereira,Gonçalves,PI,18,Chevrolet S10,HFY7172,2,CD Rio Branco,Rio Branco,AC,CD Feira de Santana,Feira de Santana,BA,2026-04-23 02:06:04,2026-05-01 02:06:04,,860.31,784.141
573,127,Luiz Miguel Pereira,Gonçalves,PI,20,Volkswagen Amarok,LDU5797,2,CD Dourados,Dourados,MS,CD Fortaleza,Fortaleza,CE,2026-04-01 05:21:04,2026-04-11 05:21:04,2026-04-17 05:21:04,296.92,430.165
5,128,Maria Sophia Pimenta,da Luz das Pedras,SE,17,Toyota Hilux,XHD6644,2,CD Linhares,Linhares,ES,CD Vitória,Vitória,ES,2026-05-17 08:42:46,2026-05-19 08:42:46,2026-05-22 08:42:46,225.43,192.71
